项目名,发布人,发布时间,项目状态,详情,抓取时间
设计/平面设计,川玩工坊,2018-05-03 10:21:32,已完成,"一、项目描述：
我们是一家专注高端电玩维修私人工作室，主要负责PS3、PS4、XBOX360、XBOXONE的维修与销售
二、项目内容
1.一张PC版淘宝首页
2.一张PC版淘宝内页
3.PC版店招和移动端店招
二、主要功能点：
进行店铺展示、实现用户购买下单
三、人员要求：
1、游戏玩家优先
2、淘宝页面设计经历优先",2018-08-27 21:40:21.498221
设计/UI设计,昕历科技,2018-04-13 18:17:54,已完成,"1.一个未登录页面
2.一个新闻页面 
3.3个icon 
4.5个展示picture
5.一个gif
6.一张背景图片",2018-08-27 21:40:21.512227
市场/运营/文案写作,融侨贷款,2018-06-06 12:56:49,已完成,"一、项目描述：

海外金融理财平台的公众微信文案编写 （5 篇）。

二、主要功能点：

向目标群体传播正确的理财观念，宣传公司的理财产品，以及传达相关的金融周边信息。

三、可参考产品：

金融八卦女、力哥理财、越女事务所 等金融、理财相关公众号

四、人员要求：

1、文笔好，善于将复杂的事物简单化
2、善于用诙谐幽默的风格；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:21.542410
设计/UI设计,名厨APP,2018-05-30 18:41:21,已完成,"一、项目描述
我们的APP已运营一年多的时间，现计划对APP内直播模块（直播课程为主）做整体改版，因公司内部设计资源冲突，所以计划将此模块整体外包。

二、主要功能点
直播介绍详情页、直播回放页面、直播问相关答页面

三、设计要求
因APP整体风格已确定，所以直播模块页面相当于在已有风格的情况下，做延伸设计，保持整体设计风格和体验的一致性

四、人员要求
1、有充足的时间和精力完成设计
2、良好的沟通能力和契约精神",2018-08-27 21:40:21.609266
设计/平面设计,保定风泉网络科技有限公司,2018-05-31 13:58:53,已完成,"1，公司logo 设计 要求简洁 以绿色为主,
2，外加名片设计  比较着急 最好一周内能解决
3，具体内容欢迎沟通",2018-08-27 21:40:21.612399
开发/APP开发,奥美健康,2018-06-01 13:13:04,已完成,"由教练（健康管理师、培训师）带领24名以内的体验者做固定场地的运动项目，所有体验者的即时心率，最大心率百分比，运动时段的靶心率时间占比，能够实时体现在屏幕上，并能够让受试者看见（屏幕尺寸需要支持），以便调整控制，体验结束后有排名，教练点评分析。
能够录入人员信息，包括姓名、性别、年龄
能够设置热身阶段、锻炼阶段、拉伸阶段时间
19寸1920*1080安卓主机，利用和蓝牙通信和WIFI通信，与厂家路由器相连。屏幕内容通过HDMI接口连接65”或75”高清电视展示；
具备安卓平板程序经验，有蓝牙开发经验者优先",2018-08-27 21:40:21.615536
设计/UI设计,weupe,2018-05-31 17:26:17,已完成,"一、项目描述：
企业官网设计

二、主要功能点：
基础企业介绍型网站，有新闻功能，跟留言板功能

三、可参考网站：
具体详聊

四、人员要求：
1、扎实的美术基础，对图案色彩有良好的认知和设计能力；
2、具有较强的平面和UI设计能力，能设计和把握整个游戏的UI风格；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:21.625616
设计/UI设计,奥美健康,2018-06-01 08:28:06,已完成,"根据原型，进行UI界面设计，测试流程简洁、清晰明了、操作简单、附带语音提示，分辨率为1366*768，Android平板。
倾向于后续长期合作，最好在北京",2018-08-27 21:40:21.634659
开发/APP开发,青岛康员投资管理有限公司,2018-06-02 16:53:02,已完成,"一、项目描述：
金融类手机App开发，包括iOS和Android两端，稳定的K线图体验

投资组合的形式展示组合持仓，实时加载成交明细，进行收益展示。
对于交易本身又有模拟和实盘之分，模拟交易重在趣味性和竞技性；

实盘交易则重在展示性和互动性。

可以独立测试金融方案回放试预演，计划和成长。
激励行社区配套，按方案或数据提供者，提供营销激励,分享方案

二、主要功能点：
股票，期货K线图，金融分析，大V观点，策略使用，交易

三、可参考产品：
参考指数天下、非常策略、股票配资宝、翻翻配资、长牛策略

四、人员要求：
1、有金融App产品的开发经验；
2、精通VUE框架，HTML5混合开发
3、良好的沟通能力和契约精神。",2018-08-27 21:40:21.646897
开发/后端开发,北京厂多多科技有限公司,2018-06-04 17:02:02,已完成,快消品交易B2B平台，需要在现有平台基础上进行改版。主要功能有按产品查找，按企业查找，杳看产品详情页，发布代理申请等功能，现开发语言为PHP。,2018-08-27 21:40:21.656393
开发/前端开发,北京九乐图特科技有限公司,2018-06-06 13:06:43,已完成,"乙方为甲方开发北斗基础平台的前端页面应用，主要基于百度地图公共地图瓦片服务，包括以下内容：
1、	坐标纠偏（WGS84坐标系转换为BD09坐标系）；
2、	图形化标注位置信息；
3、	标注点详情查看（包括文字及车辆行车道示意图）；
4、	标注点历史轨迹查询和回放；
5、	基本地图工具（测距、测面、临时标记等）；
6、	地图显示基于MapTalks开发。",2018-08-27 21:40:21.672572
设计/平面设计,北京汇科利科技有限公司,2018-06-07 13:01:40,已完成,跟进挪车贴的性质进行设计。一共三项。正面。背面。 突出主题 显示个性 方便交互 标识明显 醒目 可以进行有效区分,2018-08-27 21:40:21.702332
开发/APP开发,深圳快乐淳科技有限公司,2018-06-07 17:15:46,已完成,"运动app首页功能完善，实现如下功能：
计步，能按小时统计并保存到数据库中；同时一天为单位保存步数；
日历：横向日历能点击查看一个月内的某天步数
柱状图：能根据数据库按小时展示数据
详情细聊。
（已联系好专家，这个是分解任务，勿申请）",2018-08-27 21:40:21.706091
开发/APP开发,深圳快乐淳科技有限公司,2018-06-07 17:18:05,已完成,"首页二级页面：我的运动轨迹，实现类似keep数据中心的功能，能在多数据情况下，流畅滑动柱状图。
详情细聊。
（已联系好专家，这个是分阶段任务，勿申请）",2018-08-27 21:40:21.709306
开发/APP开发,深圳快乐淳科技有限公司,2018-06-07 17:19:55,已完成,"实现指南针功能，
实现蓝牙设备操作的多个设置界面
详情细聊
（已联系好专家，分阶段任务，勿申请）",2018-08-27 21:40:21.726520
开发/前端开发,南京博管信息科技有限公司,2018-06-07 19:26:17,已完成,"我公司准备提供给用户可视化的组合窗户的功能，窗户有大有小，并且可以上下、左右进行组合。用户可以输入组合方式、组合角度等信息，然后可以图形化的展示客户参数化数值的最后结果。

有意者可以发送详细的功能方案文档。",2018-08-27 21:40:21.736210
设计/UI设计,上海更简网络科技有限公司,2018-06-10 10:54:02,已完成,"项目名称：跟我买；
产品形态：APP+小程序；
Slogan：全球好物，自购省钱，分享赚钱。

跟我买是一个会员制电商APP，主要页面的原型已出炉，需要讨论原型，并根据原型出UI设计。",2018-08-27 21:40:21.772990
设计/UI设计,深圳好多牛科技有限公司,2018-06-10 17:39:51,已完成,一家新科技公司logo和产品logo设计，希望设计师具备良好的沟通能力和契约精神，同时具备突破创新精神，作品能够触碰灵魂，打动人心。,2018-08-27 21:40:21.781830
设计/平面设计,北京卓然互联科技有限公司,2018-06-12 22:50:05,已完成,"1. 世界杯期间派发礼品的营销活动广告页面设计
2. 此广告配套的banner图
3. 配合网页开发进行标注和切图
4. 按甲方需求进行必要的设计调整",2018-08-27 21:40:21.796278
开发/H5开发,北京卓然互联科技有限公司,2018-06-13 15:09:02,已完成,"1. 根据产品设计，一个H5页面
2. 完成后按产品需求做必要的布局调整
3. 只实现静态页面效果(个别页面内滑动控件使用现成的js)
4. 适配主流安卓+iOS屏幕
5. HTML+CSS代码风格良好、结构合理，便于开发工程师实现程序",2018-08-27 21:40:21.846373
开发/后端开发,彭哥软件,2018-05-24 15:22:12,已完成,"Windows桌面下的客户端软件:
1.不限制语言
2.软件的主界面已经设计完成，需要程序员添加程序就可以了
3.要求程序员诚实守信对我负责。
4.工期10天。",2018-08-27 21:40:21.878150
开发/小程序开发,北京三十二相网络科技有限公司,2018-05-26 15:33:48,已完成,"法语题库小程序：
1. 都是选择题。
2. 题目有文字格式、图片格式、音频格式、视频格式。
3. 用户做一题就给到一题的正确答案与解析。
4. 前十题免费，后面再做题，需要收费。
5. 用户可选择一开始做哪类考试，比如是专四还是专八。比如，选择了专四，可以再选做哪个年份的专四题，做哪种题型。
6. 需要给一个后台，可以很方便地添加试题。试题需要分标签。",2018-08-27 21:40:21.891246
开发/小程序开发,友邻印象,2018-05-27 13:18:18,已完成,"仿给定小程序开发
功能主体包含：
1. 微信用户系统
2. 收集语音邀请，并列表管理
3. 用户对邀请逐一处理，录制用户语音并发送，获得计分
4. 用户可微信分享自己的语音收集结果，或转发朋友的收集结果
5. 基本的后台管理功能，用于小程序的运营
6. 优秀语音集在秀场中展示

参考小程序：美音鲜声",2018-08-27 21:40:21.909771
市场/运营/文案写作,深圳八子实业有限公司,2018-05-19 14:01:35,已完成,"项目描述：
为公司编写以下文案：
公司文化和公司介绍、产品宣传册、产品项目介绍、宣传页、公司招牌语、多媒体广告语、包装设计文字、送礼卡、会员卡、密友卡、公司网站文案、公司小程序页面文案内容、搜索引擎词条编写（品牌与公司）

主要功能特点：为公司编写以上文案内容

人员要求：
工作效率高，写作水平好，有创意 ，有丰富的商业写作经验。
人品好，认真负责，善于沟通，沟通及时和到位。",2018-08-27 21:40:21.936824
开发/APP开发,上海大制科技有限公司,2018-05-29 15:14:20,已完成,"一，项目描述：
应用于制造行业的安卓平板上的App开发，后端服务器和UI已有，需要相应的app开发

二，主要功能点：
个人主页，设备监控，历史数据，超限统计，巡检跟踪(拍照上传)，紧急维修，急修跟踪，维护保养，维保跟踪，用户信息和登录等

三，参考产品：
无

四，人员要求：
1.至少两年以上Android开发经验，能独立完成功能模块开发和单元测试；
2.有一定的代码框架设计能力，熟悉常用设计模式；
3. 有解决问题的能力
4. 地点：上海漕河泾开发区驻场开发
5. 周期：30-45天",2018-08-27 21:40:21.964998
开发/前端开发,惠特,2018-05-29 17:30:33,已完成,"小型图书馆借书系统小程序前端开发
一、项目描述：
系统主要用于小型书屋（或者咖啡馆）书籍的的日常管理。项目基于java的后台框架开发，为前端提供api数据支持，整体采用前后端分离的架构。
需要工程师白天工作时间可以提供支持，时间充裕倾向于有经验的前端工程师独立完成。目前项目已经完成40%。需要接着之前的代码二次开发。

二、一期主要功能点：
注册登录，书架管理（上传书，下架，分类显示图书，设置借阅条件），借书流程（借书，还书全流程），显示系统最新上架书籍列表。支付接口对接（微信，支付宝）和websocket私信发送功能二选一。",2018-08-27 21:40:21.991830
市场/运营/其他市场/运营,BondIt,2018-05-23 10:19:03,已完成,"负责整体项目的文案（包括公司文化及介绍、项目介绍、网站整体文案、小程序文案，词条编写，以及小程序线上推广策划及文案）

要求：
有丰富的商业写作经验，策划运营经验。
------------------------------------------------
项目介绍：中国彩钢网，是国内专业的彩钢产业链上下游（包括但不限于彩钢瓦、钢结构、活动房）综合信息平台。
产品涵盖PC端+手机端+微信小程序端。构建整合平台，利用信息技术帮助传统企业进行网络推广，曝光商机。
本平台属于钢材类目下“细分领域”，官方网站:www.cgw.net",2018-08-27 21:40:22.027335
开发/其他开发,北京航空航天大学,2018-05-23 11:14:18,已完成,"我们正在进行一些有利于社会的，带有研究性质的公共数据分析与智能应用设计工作。
 我们认为这些工作能够产生积极正面的影响。在接下来较长的时间里，我们会围绕这项工作，不断进行各方面探索。
我们希望能够通过互联网，借助更多有才能的参与者的力量，探索新的合作方式，把这些工作分解成不同的任务，持续地推进下去，提高演化的效率。
欢迎有水平的个人开发者和思维创意者加入。
详情请见文档：https://github.com/social-innovation/tasks/issues/30

1. 目标

我们正在进行对特定人群提供智能服务的相关产品开发。接下来希望以社区形式吸引更多的朋友参与。
我们需要建立产品与社区的网站主页。

1.1. 设计参考

目前针对主页内容，已经整理了设计思路与文案：
github.com/social-innovation/tasks/issues/28

可以参考该文案，考虑配色，图片，版式设计。

1.2. 沟通与提交物

报名并提供以前的作品，我们会联系你，对我们的产品工作做简要介绍；
阅读上述文案后，给出设计思路文档，包括色调，版式，图片包含要素
确认设计思路后，完成设计稿，以及其中包括的图片素材


阅读设计文案，沟通视觉设计思路
完成设计稿和图片素材
调整维护

2. 人员要求

证明自己有能力胜任此项工作，有相关设计经验（可提供以前的作品）
熟悉 PS / CDR / AI 等工具


3. 协作工具

zoom: https://zoom.us/
石墨文档: https://shimo.im/
github: https://github.com/
微信",2018-08-27 21:40:22.054904
设计/平面设计,北京韧力,2018-05-24 09:51:13,已完成,"1、负责杂志的排版与设计。
2、杂志为双月刊，2个月排版一次。
3、1-3年排版经验，熟悉杂志排版流程。
4、杂志内页为80P，版面设计已图文为主。主要内容为采访HR圈内大咖",2018-08-27 21:40:22.059718
设计/平面设计,杭州拍手网络,2018-05-23 19:08:02,已完成,"希望相关项目经验丰富，有独立设计能力。
擅长扁平化风格优先考虑！
此次设计为X展架设计，具体要求稍后提供word文件说明！",2018-08-27 21:40:22.074450
市场/运营/线上活动策划/执行,互联网行业上市公司,2016-07-07 18:17:15,已完成,"一、项目描述
突发型、事件型营销项目策划、创意。挖掘热点话题, 围绕产品信息和品牌形象，制定出符合产品调性的创新营销方案，面向用户和行业有效传播；
二、主要功能点：
话题选择，创意可行性，易传播性，引发讨论和自传播
三、可参考案例：
暴雪公司守望先锋游戏开服-吴宏宇事件营销方案
杜蕾斯营销案例
知乎雷洋案炒作案例
四、人员要求：
1.有话题敏感性，对新闻事件有自己独特的见解；
2.优秀的市场活动策划能力、PPT阐述能力，创意能力突出，思维活跃，熟悉创新媒体的营销方式 ；
3.对线上互联网行业的新方式新手段新玩法保持高度敏感，制定品牌、产品的创新推广手段，包括但不限于微博、微信、贴吧、自媒体等传播方式和资源；
4.熟悉品牌及市场推广的策划、统筹、执行、监督等流程管理，成功操控过品牌策划和活动策划案例者优先；
5.有互联网公司市场部或4A广告公司品牌经理工作经验者优先",2018-08-27 21:40:22.085542
产品/产品经理,北京世诚优聘科技发展有限公司,2016-08-26 18:54:27,已完成,"一、项目描述：

为了提高销售业绩
二、主要功能点：

线索生成、客户流转等功能
三、人员要求：

1、有企业级软件产品设计的经验。
2、良好的沟通能力和契约精神。",2018-08-27 21:40:22.088959
开发/微信开发,北京灵数世纪科技有限公司,2016-08-25 11:40:24,已完成,"一、项目描述：

基于朋友圈的人与人【命数匹配】，算法已经有了，需要技术配合来实现。

匹配之后，会产生一个百分比，然后会有相应的解读。

部分解读需要微信支付来看。

二、涉及到的工作量：

5个页面；微信授权；用户系统；随机的用户匹配；微信支付；


ps：产品与设计会提前搞定",2018-08-27 21:40:22.121493
开发/微信开发,北京灵数世纪科技有限公司,2016-09-12 11:41:21,已完成,灵数配对找对象，算两人契合度,2018-08-27 21:40:22.138872
开发/微信开发,北京菲娜丽斯信息技术有限公司,2018-05-15 15:47:38,已完成,使用Vue开发积分Plus商城微信端，后台提供接口，需要完成Web端的首页、分类、商品详情展示、确认订单、收货地址、微信支付和订单管理功能。,2018-08-27 21:40:22.155240
设计/平面设计,上海九龙,2018-05-14 23:08:29,已完成,活动落地页面设计，邀请设计师有活动落地页面设计作品。最好有房地产大会活动经验的设计师，或者有房地产海报设计，房地产营销运营推广品册设计经验优先。,2018-08-27 21:40:22.193675
开发/后端开发,上海辰麦检测技术有限公司,2018-05-15 22:11:10,已完成,"1.公司订单录入，实现订单在线查看和浏览
2.相关订单业务搜索功能，能够导出相关搜索的结果
3.指定客户管理管理系统",2018-08-27 21:40:22.199166
开发/小程序开发,精诚立嘉,2018-05-18 09:51:46,已完成,"本项目为尾款项目，请勿投标！
受雇方：武汉拓客猫，电话：158****2375
项目需求和UI文档：https://share.weiyun.com/50iaLot

根据两个前置项目的开发的结果，将源码全部交付，并部署到本公司服务器上，完成项目交付：
前端开发：https://pro.lagou.com/project/6914.html
后台和服务端：https://pro.lagou.com/project/6914.html

项目交付后，本公司在大鲲网上支付尾款：12000元人民币；
受雇方需在交付后半年内，继续维护本小程序的正常使用，半年后的维护需另行商议。",2018-08-27 21:40:22.206975
设计/UI设计,广州市天汇计算机科技有限公司,2018-05-17 15:57:14,已完成,"KTV点歌系统的ui界面，包括PSD到切图
主要功能点：
各种形式的歌曲检索（歌星，搜索，类别等）歌曲列表，个人中心等
参考页面
www.skymedia.cn/newui
人员要求：
良好的美工基础
有电视UI或者KTV系统UI设计经验",2018-08-27 21:40:22.226310
设计/UI设计,南京加乐西信息科技服务有限公司,2018-05-03 11:04:48,已完成,目前公司已开发成熟一款用于高尔夫练习自助终端的U3D游戏软件。目前想升级游戏美工以及UI，需要完整的视觉和交互设计。详情请见详细的项目需求,2018-08-27 21:40:22.256257
开发/Web网站开发,无锡有尚科技,2018-05-05 18:35:42,已完成,"现已有一套OA办公源码，包括了手机版和pc版的，都是网页。前端html+Jquery+css,后端是php + mysql。

（1）手机页面的几个页面要换一下，换的页面的静态html+css代码都有了。只要把新页面套上原有的逻辑就可以了。
（2）电脑版的改动很少，只要把首页给一下。界面静态代码都有，也只要给一下逻辑。
（3）你如果是一个熟练的php程序员，同时你会使用jquery,你可能只要1-2天就可以完成任务。",2018-08-27 21:40:22.280365
设计/UI设计,上海,2018-05-03 14:22:04,已完成,我们新的品牌需要一个LOGO，主营是翡翠，设计需要体现翡翠的绿、透等优点,2018-08-27 21:40:22.294576
开发/前端开发,小项目,2018-05-08 11:41:05,已完成,"优化微信小程序展示全景图片问题
要求使用aframe技术，解决微信上的全景显示问题，加载显示慢友好，显示更通畅。
如已有其他技术能在微信小程序展示全景图片，也可以。属于特定问题解决，小项目，会弄的个人来，出价300元！",2018-08-27 21:40:22.301596
产品/产品经理,北京在外科技有限公司,2018-05-08 23:45:44,已完成,"旅行社交产品，需求点，找人，拼车，更好的推送符合的人。

页面设计需要，再清爽一点。具体的需求要详细沟通。",2018-08-27 21:40:22.318569
开发/后端开发,北京厂多多科技有限公司,2018-05-09 08:00:58,已完成,快消品交易B2B平台，需要在现有平台基础上进行改版。主要功能有按产品查找，按企业查找，杳看产品详情页，发布代理申请等功能，现开发语言为PHP。,2018-08-27 21:40:22.324382
设计/平面设计,北京子博创意设计有限公司,2018-05-09 17:11:12,已完成,"一、项目类型：平面设计/物料设计

二、项目背景：
大学和企业联合举办的用户会，目的是为了建立一个交流、共享的沟通平台。

三、项目需求：
    1）主视觉Kv*1
   （商务、专业风格，不涉及到手绘等复杂工作）
   2）胸牌/工作牌*1
   （分正反面正面：Vip或参会嘉宾+公司名称+主办承办；  背面：二维码）
   3）会议手册*16p
   （分为3部分：公司介绍2p，会议流程1p，剩下全是嘉宾介绍，内容结构一致）
   物料设计产出需与主视觉Kv保持风格、元素一致。

四、时间周期：5月底完成所有设计工作。

五、说明：如你对本项目或我司有兴趣更深一层了解，请联系我，我会尽快回复你！谢谢！",2018-08-27 21:40:22.336324
设计/平面设计,finnet投资咨询公司,2018-04-16 14:42:31,已完成,"一.项目描述：金融类产品的手机端开发，摆脱繁琐的人工操作，实现各个链程序自动化操作，为客户和合作伙伴提供便捷的操作和便捷化管理。

二.主要功能点：设计手机端的业务中心，设计手机端的审批的看板界面

三.可提供参考的产品：https://www.ifinnet.com/
四.人员要求：
    1、精通PS等；
    2、良好的沟通能力和契约精神。
	3、有做过手机端的界面设计。",2018-08-27 21:40:22.373969
开发/微信开发,湖南自然鲜农业发展有限公司,2018-04-15 16:10:17,已完成,"根据需求设计公众号页面及前端页面的开发（需求可以具体沟通）
要求具有前瞻性思维，突破性思维，跨界思维。具有开拓创新精神，为人真诚可靠。
能够长期合作或者共同发展。
详情需要电话或者微信沟通",2018-08-27 21:40:22.377996
开发/APP开发,深圳市前海昕历科技有限公司,2018-05-09 20:21:40,已完成,"原来产品由react native与ios 混合开发
1.修复下来刷新gif 与左右滑动冲突bug
参见：https://github.com/nyjackielee/Project/issues/4
2.添加文字预浏览组建，例如当文章加载缓慢时现实预设UI
参见：https://github.com/nyjackielee/Project/issues/3
3.完成banner音乐播放器
参见：https://github.com/nyjackielee/Project/issues/2
4.设置页面UI IOS适配
参见：https://github.com/nyjackielee/Project/issues/1
以上所有项目无任何UI设计和后台工作量",2018-08-27 21:40:22.381665
开发/APP开发,杭州熊猫智云大数据科技有限公司,2018-04-16 18:05:07,已完成,"安卓下电话、短信监测服务APP

公司内部系统需要在业务员的工作手机（安卓6+，双卡双待）上安装一个APP作为后台服务，用于自动将业务员的业务联系记录自动维护到服务器；

APP功能需求：
1. 可监测电话呼入、呼出，有电话呼入时可将呼入号码作为参数向服务器查询该号码的相关备注信息进行显示，电话挂断后则将本次通话的呼入/呼出号码、开始时间与通话时长等信息提交到服务器；
2. 监测短信的收发，当收到短信或发送短信时，将发送或收到时间与内容及目标号码等信息提交到服务器；
3. 可手动触发将电话中以上两项需求的存量数据一次性提交到服务器；
4. 可接收来自服务器的呼出指令，即业务员可能在网页上点击呼出某个号码，通过服务器向手机下达呼叫某个电话号码的指令；
5. 可接收来自服务器的短信发送指令，即业务员在网页上输入了短信内容，并指定了发送号码后，通过服务器将短信内容与目标号码下发到手机APP中，由APP执行短信的发送；
6. 通讯录的备份与同步功能，可将本机通讯录上传到服务器，或下载服务器通讯录覆盖本地；
7. 3和6中的同步也可在收到来自服务器的指令触发同步与提交；
8. 可通过服务器向手机APP发送指令拨打指定号码或向指定号码发送指定内容的短信。

补充说明：
1. 以上需求中若因系统底层安全机制制约需要在体验上做出让步或裁剪的需求可以商讨；
2. 与服务器的通信使用Socket长连接，在建立连接时进行验证，后续操作则不再需要验证，通信的协议格式为自定义的，不会太复杂，详细的验证与通信协议格式说明在确定合作后会有专门文档说明；
3. 项目交付时需要提供源码，软件著作权归我方。

详细需求请见熊猫智云内部手机APP需求说明（修订）",2018-08-27 21:40:22.390311
设计/平面设计,第一资源,2018-04-17 10:01:01,已完成,"1、负责杂志的排版与设计。
2、杂志为双月刊，2个月排版一次。
3、1-3年排版经验，熟悉杂志排版流程。
4、杂志内页为80P，版面设计已图文为主。主要内容为采访HR圈内大咖",2018-08-27 21:40:22.395172
设计/UI设计,北京卓然互联科技有限公司,2018-04-17 11:56:44,已完成,"1. 一款让学生复习、答题、参加竞赛的APP软件。
2. 本期项目主要涉及到：
软件主页面、竞赛倒计时页面、答题交互页面、未作答页面等九个页面
3. 支持安卓和iOS主流手机屏幕
Android：1280*720、1920*1080、1440x2560
iOS：640x1136、750x1334、1080x1920
4. 按产品需求对设计做出合理改进达到项目要求
5. 提交设计图、切图和源文件",2018-08-27 21:40:22.410434
设计/UI设计,湖南七三七信息科技有限公司,2018-03-12 11:18:19,已完成,"项目描述：一个h5积分游戏，产品已经上线了。现在的需求是，对于首页界面不太满意，所以想重新设计个首页。希望首页能简洁大气上档次。

原产品查看：https://games.737menu.wang/games/gamesWap/loading-1.html",2018-08-27 21:40:22.508234
开发/后端开发,长白云,2018-03-10 17:46:38,已完成,"我有一个供应商提供的api接口。 目前有以下样本代码
1. 查询
2. 展示结果
3. 预订
但是对速度不是很满意，查询需要7-8秒钟返回。

希望找一位熟悉api的phper
对数据缓存，后台查询有经验的",2018-08-27 21:40:22.517325
开发/后端开发,汇宇科技有限公司,2018-03-12 11:59:03,已完成,公司内部OA系统主要解决公司员工申请各类办公单、请假单、倒休单、病假单、办公用品、采购申请单等功能，员工上下级审批流程等。,2018-08-27 21:40:22.521242
开发/后端开发,北京厂多多科技有限公司,2018-03-13 10:22:37,已完成,现有平台为快消品B2B交易平台，需要接入第三方支付接口。第三方支付公司为易极付，需求对支付接口非常熟悉的小伙伴。,2018-08-27 21:40:22.558660
设计/UI设计,北京高校圈科技发展有限公司,2018-03-20 20:36:48,已完成,"根据现有网站的模块，对文字内容及图片内容进行修改和设计，需要您对色彩敏感，内心细腻。项目描述：
1、对网页的内容修改，编辑
2、对官网首页进行编辑，修改
3、需要您有较强的PS和网站设计能力，对颜色敏感
4、略懂程序和部署最佳
5、需要交互效果设计",2018-08-27 21:40:22.592892
开发/前端开发,个人,2018-03-14 10:20:53,已完成,"一、项目描述：
1个HTML页面，左侧是垂直的选项卡，右侧是商品列表，点击左侧选项卡，右侧的商品列表信息从服务器获取并刷新出来

二、主要功能点：
商品信息刷新

三、可参考产品：
无

四、人员要求：
1、熟悉PHP，、Javascript、HTML，CSS等技术；
2、良好的沟通能力和契约精神。

五，该任务预算只有200元",2018-08-27 21:40:22.597484
